Converted,Points,Exp_Cost,23_Cost,Max_Cost,Player
QB01,461.6,50,51,51,Jalen Hurts
QB02,436.63,47,50,50,Josh Allen
QB03,413.86,44,49,49,Lamar Jackson
QB04,391.19,41,48,48,Patrick Mahomes
QB05,366.9,34,37,37,Anthony Richardson
QB06,353.81,31,32,32,C.J. Stroud
QB07,343,30,31,31,Dak Prescott
QB08,336.59,29,30,30,Joe Burrow
QB09,330.22,27,27,28,Kyler Murray
QB10,325.05,25,25,25,Brock Purdy
QB11,319.57,23,24,24,Jordan Love
QB12,311.24,21,22,22,Trevor Lawrence
QB13,285,20,22,22,Justin Herbert
QB14,277.68,17,19,19,Jayden Daniels
QB15,273.76,17,19,19,Jared Goff
QB16,266.73,16,17,17,Caleb Williams
QB17,257.39,14,16,16,Deshaun Watson
QB18,250.19,13,15,15,Tua Tagovailoa
QB19,243.24,12,13,13,Kirk Cousins
QB20,228.85,11,12,12,Baker Mayfield
QB21,219.43,10,11,11,Aaron Rodgers
QB22,208.71,10,11,11,Matthew Stafford
QB23,196.58,9,10,10,Geno Smith
QB24,191.69,9,10,10,Derek Carr
QB25,187.89,9,10,10,Daniel Jones
QB26,180.07,9,10,10,Will Levis
QB27,173.61,7,8,8,Bryce Young
QB28,163.08,6,7,7,Russell Wilson
QB29,149.53,6,6,6,Bo Nix
QB30,139.15,6,6,6,J.J. McCarthy
QB31,130.17,5,5,5,Drake Maye
QB32,124.87,4,4,4,Gardner Minshew II
QB33,115.87,2,1,3,Sam Darnold
QB34,102.87,2,1,3,Aidan O'Connell
QB35,95.46,2,1,2,Justin Fields
WR01,316.13,45,46,46,CeeDee Lamb
WR02,287.29,44,46,46,Tyreek Hill
WR03,260.47,41,41,41,Ja'Marr Chase
WR04,243.17,39,39,39,Justin Jefferson
WR05,235.93,35,35,35,Amon-Ra St. Brown
WR06,212.87,34,33,35,A.J. Brown
WR07,210.07,32,33,33,Puka Nacua
WR08,198.87,30,31,31,Garrett Wilson
